                           data_label                            |                   name                    |  release   |            lastmod            |             data_md5             
 GS-CAL20150505-4-027                                            | S20150505S0338.fits                       | 2015-05-05 | 2017-06-20 21:56:32.356428+00 | 64ed7f0ead4289e48d7662c411903e57
 GN-CAL20150505-20-022                                           | N20150505S0338.fits                       | 2015-05-05 | 2017-06-20 21:56:32.466427+00 | f7cf0c6e178c362eca549f234adab312
 GS-CAL20150505-4-026-G-BIAS                                     | gS20150505S0337_bias.fits                 | 2015-05-05 | 2017-06-20 21:56:32.627425+00 | d903633e1cf93b3f09b26712a4716fc3
 GS-CAL20150505-4-026                                            | S20150505S0337.fits                       | 2015-05-05 | 2017-06-20 21:56:33.358418+00 | 3368b313ca8bba57a37e9c948593e8d8
 GN-CAL20150505-20-021                                           | N20150505S0337.fits                       | 2015-05-05 | 2017-06-20 21:56:33.772414+00 | 0381f815cea11ee7c741b0b74069facd
 GS-CAL20150505-4-025                                            | S20150505S0336.fits                       | 2015-05-05 | 2017-06-20 21:56:34.049412+00 | da93744fd57de3e4399b52b1b9f5cfa6
 GS-CAL20150505-4-024                                            | S20150505S0335.fits                       | 2015-05-05 | 2017-06-20 21:56:34.332409+00 | 25f0a6f9f17f96bc705417ef6188d1d8
 GN-CAL20150505-20-019                                           | N20150505S0335.fits                       | 2015-05-05 | 2017-06-20 21:56:34.510407+00 | 65ec97615e71156022718ee02c73eb48
 GN-CAL20150505-20-020                                           | N20150505S0336.fits                       | 2015-05-05 | 2017-06-20 21:56:35.118402+00 | 2466ae3420881c8057393787de5cc670
 GN-CAL20150505-20-018                                           | N20150505S0334.fits                       | 2015-05-05 | 2017-06-20 21:56:35.628397+00 | 180f66d9f88ac6671cfc7f44342fc39c
 GS-CAL20150505-4-023                                            | S20150505S0334.fits                       | 2015-05-05 | 2017-06-20 21:56:35.760396+00 | f765c2231cfab98806f6fa3fc14ca490
 GS-2006A-Q-26-14-001                                            | S20060322S0103.fits                       | 2006-03-22 | 2017-06-26 12:57:13.860683+00 | 848c15b43d810659098fe3157d0eee1b
 GN-CAL20060422-9-005-FLAT                                       | N20060322S0103_FLAT.fits                  | 2006-04-22 | 2017-06-26 12:57:15.22067+00  | 34053a7c6becedff47f23a13ecabd021
 GN-CAL20060322-8-003                                            | N20060322S0103.fits                       | 2006-03-22 | 2017-06-26 12:57:15.26567+00  | b92508e05d9c8262baf1c5afe98fc52a
 GS-2006A-Q-26-2-003                                             | S20060322S0102.fits                       | 2007-09-22 | 2017-06-26 12:57:15.286669+00 | ee1b57be5d1b270769a848c6b4489ac6
 GS-2006A-Q-26-2-002                                             | S20060322S0100.fits                       | 2007-09-22 | 2017-06-26 12:57:15.636666+00 | 2d5ef15e8e7fcdb16a65213bfb268b87
 GS-2006A-Q-26-16-005                                            | S20060322S0101.fits                       | 2006-03-22 | 2017-06-26 12:57:15.700665+00 | 950ab618b06a40119dce30b3af97c4c0
 GN-CAL20060322-8-002                                            | N20060322S0102.fits                       | 2006-03-22 | 2017-06-26 12:57:15.732665+00 | e6921cff7a1b32c497e96f548c6a6b99
 GN-CAL20060322-8-001                                            | N20060322S0101.fits                       | 2006-03-22 | 2017-06-26 12:57:15.753665+00 | 179c97f590dace3cd61b104e654fd6e6
 GN-CAL20060322-3-020                                            | N20060322S0099.fits                       | 2006-03-22 | 2017-06-26 12:57:17.727647+00 | 2f6b04fca982712f87ad500f64962890
 GS-2006A-Q-26-2-001                                             | S20060322S0099.fits                       | 2007-09-22 | 2017-06-26 12:57:17.848646+00 | dc25099b238083ffa7c903e204755df2
 GS-2006A-Q-26-16-004                                            | S20060322S0098.fits                       | 2006-03-22 | 2017-06-26 12:57:18.648638+00 | 18dd22ac8c20b4273984e1eb0d4a97ac
 GN-CAL20060322-3-019                                            | N20060322S0098.fits                       | 2006-03-22 | 2017-06-26 12:57:18.789637+00 | ae0f866d8699bd8dedcf64087136a7c6
 GS-2006A-Q-26-16-003                                            | S20060322S0097.fits                       | 2006-03-22 | 2017-06-26 12:57:19.217633+00 | 70ebfac73ebb2ca106be69094e346d4d
 GN-CAL20060322-3-018                                            | N20060322S0097.fits                       | 2006-03-22 | 2017-06-26 12:57:19.300632+00 | f9bdadee54201cbe3485de00018c9731
 GS-2006A-Q-26-16-002                                            | S20060322S0096.fits                       | 2006-03-22 | 2017-06-26 12:57:19.919626+00 | 7def94fc055b9f2f24afb441c11c04a1
 GN-CAL20060322-3-017                                            | N20060322S0096.fits                       | 2006-03-22 | 2017-06-26 12:57:20.086625+00 | 54dc3350a3e50ad108d18636e6bde023
 GS-2006A-Q-26-16-001                                            | S20060322S0095.fits                       | 2006-03-22 | 2017-06-26 12:57:20.257623+00 | c92a3eae2c1269bbdada3fa7b8e22ab3
